Document identifier,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29
BOD+e10-0192,0.0864208058,0.0007800134,0.0002568546,9.04275910977266E-005,0.0008768166,0.0012062646,0.0614832879,0.257962853,0.0003057436,0.0003486426,0.0002567647,0.0861019352,0.0127775876,0.0009816971,0.0003557385,0.0004809941,0.0003559724,0.0003942216,0.1981723155,0.0010530477,0.000385998,0.0032563924,0.2693602287,0.0006892409,0.0003910248,0.0126277632,0.0008464496,0.001044093,0.0003924115,0.0003444137
BOD+e10-0193,0.0011194615,0.0009010009,0.0002966952,0.0001044538,0.0010128192,0.0013933677,0.0005156212,0.481286535,0.0003531673,0.0004027204,0.0002965913,0.000751131,0.000658651,0.2408486125,0.0004109169,0.0005556008,0.0004111871,0.0004553691,0.1443055508,0.0012163854,0.0427484544,0.0037614897,0.0291233234,0.0007961487,0.0004516765,0.0427881719,0.000977742,0.0012060418,0.0004532782,0.0003978355
BOD+e10-0194,0.0530358041,0.0008307179,0.0002735514,9.63057989980633E-005,0.0009338137,0.0012846773,0.0004753999,0.1187206203,0.0003256183,0.000371306,0.0002734556,0.0006925387,0.0006072726,0.1570565124,0.0003788631,0.0005122609,0.0003791122,0.0004198478,0.3670654249,0.0011215006,0.0004110897,0.0684726564,0.1308588776,0.0657386283,0.0004164432,0.0264495424,0.0009014727,0.0011119639,0.00041792,0.0003668021
BOD+e10-0195,0.2870523049,0.0138316346,0.0002735514,9.63057989980633E-005,0.0009338137,0.0012846773,0.0004753999,0.222727954,0.0003256183,0.000371306,0.0002734556,0.0006925387,0.0006072726,0.1570565124,0.0003788631,0.0135131776,0.0003791122,0.0004198478,0.2500571745,0.027123334,0.0004110897,0.0164689895,0.0008497105,0.0007340447,0.0004164432,0.000447709,0.0009014727,0.0011119639,0.00041792,0.0003668021
BOD+e10-0196,0.1950879757,0.0010319653,0.0003398212,0.0001196366,0.0011600368,0.0015958997,0.000590569,0.3574378292,0.0004045017,0.0004612575,0.0003397022,0.065462243,0.0007543888,0.0012987948,0.0004706455,0.0006363598,0.0004709549,0.0005215589,0.0037761602,0.0013931923,0.0005106791,0.0689101704,0.2594632865,0.0009118724,0.0166678126,0.0167066528,0.001119861,0.0013813452,0.0005191642,0.0004556626
BOD+e10-0197,0.2476890158,0.0009842757,0.0003241172,0.0001141079,0.0011064288,0.0015221494,0.0005632774,0.1406660755,0.0003858087,0.0004399417,0.0003240037,0.0008205541,0.0007195267,0.1706842101,0.0004488958,0.0006069521,0.0004491909,0.0004974565,0.0960264379,0.0321370706,0.0004870794,0.0041091446,0.2936852591,0.0008697326,0.0004934226,0.0005304678,0.0010681096,0.0013175099,0.0004951723,0.0004346054
BOD+e10-0198,0.0882123711,0.0009271481,0.0003053054,0.000107485,0.0010422113,0.0014338034,0.0005305846,0.1034816359,0.0003634163,0.0004144074,0.0293253393,0.0007729289,0.0006777652,0.0011668755,0.0004228418,0.0005717244,0.0004231198,0.0149786544,0.4967350089,0.0012516851,0.0004588092,0.0183807191,0.1750691908,0.000819253,0.0004647842,0.0004996793,0.0010061162,0.0012410413,0.0585067142,0.0004093807
BOD+e10-0199,0.2728624566,0.000789653,0.0002600289,9.15451172215686E-005,0.0008876525,0.0012211719,0.0004518995,0.1375683929,0.000309522,0.0003529512,0.0002599378,0.0006583044,0.0005772533,0.0875015286,0.0127183776,0.0004869383,0.0003603716,0.0745485501,0.0399642211,0.0010660615,0.0003907683,0.0650878495,0.2974055333,0.0006977587,0.0003958572,0.0004255774,0.0008569103,0.0010569962,0.000397261,0.00034867
BOD+e10-0200,0.0012229274,0.0163884063,0.0003241172,0.0001141079,0.0011064288,0.0015221494,0.0005632774,0.0020289008,0.0003858087,0.0004399417,0.0003240037,0.0008205541,0.0007195267,0.401746168,0.0004488958,0.0006069521,0.0004491909,0.0004974565,0.0498140463,0.0013288095,0.0004870794,0.281383494,0.0010067792,0.0008697326,0.0004934226,0.0005304678,0.2167259369,0.0013175099,0.0158993029,0.0004346054
BOD+e10-0201,0.0010188908,0.0008200564,0.0002700406,9.50698043896418E-005,0.0009218291,0.0654385004,0.1929802306,0.1556991389,0.06449175,0.0003665406,0.0259380703,0.0006836506,0.0005994789,0.026700218,0.0003740008,0.0005056865,0.0003742467,0.0004144594,0.0543369931,0.0139411694,0.0004058137,0.0547598119,0.3345244208,0.0007246239,0.0004110986,0.0004419631,0.0008899032,0.0010976929,0.0004125564,0.0003620946
BOD+e10-0202,0.0009029993,0.0007267809,0.0002393254,8.42562986652473E-005,0.0008169777,0.0011239423,0.0004159193,0.5247150021,0.0002848779,0.0003248493,0.0002392416,0.0006058902,0.0460284124,0.0464118204,0.0003314609,0.0004481683,0.0003316788,0.0003673176,0.0140337115,0.0692268616,0.0003596553,0.2646425971,0.0007433972,0.0233907631,0.0003643391,0.000391693,0.0007886831,0.0009728382,0.0003656311,0.0003209089
BOD+e10-0203,0.0301720893,0.0009271481,0.0003053054,0.000107485,0.0010422113,0.0014338034,0.0005305846,0.3211326927,0.0003634163,0.0004144074,0.0003051984,0.0007729289,0.0006777652,0.0446970869,0.0004228418,0.0005717244,0.0004231198,0.0004685839,0.2935940227,0.1028221782,0.0004588092,0.1925015645,0.0009483454,0.000819253,0.0004647842,0.0004996793,0.0010061162,0.0012410413,0.0004664324,0.0004093807
BOD+e10-0204,0.2188030051,0.0009271481,0.0003053054,0.000107485,0.0010422113,0.0014338034,0.0005305846,0.1760319882,0.0003634163,0.0004144074,0.0003051984,0.2329340561,0.0006777652,0.0011668755,0.0004228418,0.0005717244,0.0004231198,0.0004685839,0.1339832477,0.0012516851,0.0004588092,0.0038706487,0.1315389794,0.000819253,0.0875252069,0.0004996793,0.0010061162,0.0012410413,0.0004664324,0.0004093807
BOD+e10-0205,0.1722839032,0.0008416603,0.0002771546,9.75743550611589E-005,0.0009461141,0.0013015993,0.0004816619,0.1861452629,0.0003299074,0.0003761969,0.0002770576,0.2114563322,0.1191647743,0.0010592836,0.0003838536,0.0005190085,0.0003841059,0.0004253781,0.0821127989,0.0011362732,0.0004165046,0.1615797583,0.0535495709,0.0007437137,0.0004219287,0.0004536063,0.0009133471,0.0011266109,0.0004234249,0.0003716337
BOD+e10-0206,0.0009460415,0.0007614235,0.0002507331,8.8272440473885E-005,0.286850572,0.0011775158,0.0004357444,0.2518148533,0.0002984568,0.0003403335,0.0002506452,0.1555485405,0.1078046116,0.0009583004,0.0003472602,0.0004695306,0.0003474885,0.0003848261,0.1457835216,0.0010279505,0.0003767986,0.0389281147,0.0007788318,0.0006728143,0.0003817056,0.0004103633,0.0008262763,0.0010192093,0.0003830592,0.0003362053
BOD+e10-0207,0.0240304092,0.0014225336,0.0004684334,0.0001649155,0.4913842396,0.0244628624,0.0008140818,0.1142470974,0.0005575936,0.0006358299,0.0004682694,0.0011859134,0.0010399026,0.0017903501,0.0006487708,0.0008772031,0.0006491974,0.0007189535,0.3168867923,0.0019204743,0.0007039561,0.0059387791,0.0014550569,0.001256989,0.0007131236,0.0007666636,0.0015436952,0.0019041434,0.0007156524,0.0006281174
BOD+e10-0208,0.2573241397,0.0007800134,0.0002568546,9.04275910977266E-005,0.1473653885,0.0012062646,0.000446383,0.1847185671,0.0003057436,0.0003486426,0.0002567647,0.0250650302,0.0005702066,0.0009816971,0.0003557385,0.0004809941,0.0003559724,0.0003942216,0.3690756494,0.0010530477,0.000385998,0.0032563924,0.0007978468,0.0006892409,0.0003910248,0.0004203823,0.0008464496,0.001044093,0.0003924115,0.0003444137
BOD+e10-0209,0.1078436024,0.0008528947,0.0002808541,9.88767764687347E-005,0.1077426539,0.001318973,0.0004880912,0.3087618279,0.000334311,0.0003812184,0.0002807557,0.0007110267,0.0006234844,0.0010734229,0.0003889773,0.0005259362,0.000389233,0.000431056,0.416908562,0.0011514402,0.0004220641,0.0436046231,0.0008723944,0.0007536408,0.0004275606,0.0004596611,0.0009255384,0.0011416488,0.0004290768,0.0003765943
BOD+e10-0210,0.0009933923,0.0258252938,0.0002632826,9.26906102859304E-005,0.0008987596,0.0763137322,0.000457554,0.4771375291,0.0003133951,0.0003573677,0.0002631904,0.0006665417,0.0005844764,0.0010062648,0.0003646411,0.0004930313,0.0003648809,0.0004040873,0.3282605281,0.001079401,0.0003956579,0.0784151659,0.0008178136,0.0007064897,0.0004008105,0.0004309026,0.0008676327,0.0010702223,0.0004022319,0.0003530329
BOD+e10-0211,0.0011194615,0.0009010009,0.0002966952,0.0001044538,0.0010128192,0.0436959521,0.0005156212,0.2838744745,0.0003531673,0.0004027204,0.0002965913,0.000751131,0.000658651,0.1562434437,0.0004109169,0.0005556008,0.02861291,0.0004553691,0.1584064122,0.0153172468,0.00044587,0.2998795804,0.0009216004,0.0007961487,0.0004516765,0.0004855875,0.000977742,0.0012060418,0.0004532782,0.0003978355
BOD+e10-0212,0.2237748694,0.0010155635,0.0003344201,0.0001177351,0.0011415995,0.0015705348,0.0005811826,0.5424822741,0.0003980727,0.0004539264,0.000334303,0.0008466376,0.0007423987,0.001278152,0.0322507463,0.0006262456,0.0004634696,0.01640706,0.067291305,0.0013710492,0.0005025625,0.051921136,0.0010387822,0.0008973793,0.0005091073,0.0482287019,0.0011020622,0.0013593904,0.0005109127,0.0004484204
BOD+e10-0213,0.0012229274,0.0317925368,0.0003241172,0.0001141079,0.0011064288,0.0015221494,0.0005632774,0.1098578145,0.0003858087,0.0004399417,0.0003240037,0.0162246847,0.0007195267,0.3863420375,0.0004488958,0.0006069521,0.0004491909,0.0004974565,0.0498140463,0.0013288095,0.0004870794,0.2967876245,0.0780274318,0.0162738631,0.0004934226,0.0005304678,0.0010681096,0.0013175099,0.0004951723,0.0004346054
BOD+e10-0214,0.0011038956,0.0008884727,0.0002925698,0.0001030014,0.0009987361,0.0013739932,0.0005084516,0.0018314207,0.0003482566,0.0003971206,0.0002924673,0.0007406867,0.0006494926,0.3765475818,0.0004052032,0.0005478753,0.1255485968,0.0004490373,0.0310606768,0.0011994718,0.0143444622,0.4347577364,0.0009087858,0.0007850784,0.000445396,0.0004788355,0.0009641467,0.001189272,0.0004469755,0.0003923037
BOD+e10-0215,0.0012618014,0.0010155635,0.0003344201,0.0001177351,0.0011415995,0.0015705348,0.0005811826,0.2405002532,0.0003980727,0.0004539264,0.000334303,0.0008466376,0.0007423987,0.001278152,0.0004631651,0.0006262456,0.0004634696,0.0005132694,0.3056981636,0.0172648397,0.0005025625,0.1631776701,0.2553394314,0.0008973793,0.0005091073,0.0005473301,0.0011020622,0.0013593904,0.0005109127,0.0004484204
BOD+e10-0216,0.1410691795,0.0022096147,0.0007276154,0.0002561624,0.0024838378,0.0034170949,0.0012645094,0.0045547084,0.0008661075,0.0009876315,0.0007273606,0.0018420737,0.0361962289,0.0027809423,0.0010077326,0.0013625555,0.0010083952,0.0011167471,0.7342854201,0.0375640166,0.0010934516,0.0092246774,0.002260133,0.0019524751,0.0011076915,0.0011908549,0.0023978145,0.0029576969,0.0011116195,0.0009756518
BOD+e10-0217,0.0066615113,0.0892706703,0.0017655263,0.0006215667,0.0060269215,0.0082914283,0.0030682757,0.0110517966,0.0021015713,0.0023964437,0.001764908,0.0044697097,0.0039193947,0.0067478323,0.0024452183,0.00330618,0.0024468258,0.002709737,0.0196188775,0.2589656872,0.1704714893,0.022383268,0.0054841117,0.2564650103,0.0026877639,0.0028895562,0.0058181898,0.0910858583,0.002697295,0.0023673755
BOD+e10-0218,0.0023406566,0.0018838824,0.0006203534,0.0002184,0.0021176807,0.0029133609,0.0010781007,0.0923327884,0.0007384296,0.000842039,0.0006201361,0.0015705228,0.0013771586,0.0318541594,0.0008591769,0.0011616932,0.0008597417,0.0009521209,0.0068934892,0.2973750335,0.0009322595,0.5090787392,0.0019269535,0.0016646493,0.0009444002,0.001015304,0.0020443386,0.0320048575,0.0009477491,0.0008318252
BOD+e10-0219,0.0046927065,0.0037769347,0.0012437263,0.0004378631,0.0042456692,0.0058409027,0.002161449,0.0668953003,0.1788100157,0.0016881765,0.0012432907,0.0622585443,0.0027610204,0.0047535154,0.0017225358,0.0023290409,0.0017236682,0.0019088762,0.0138205326,0.1824285672,0.0018690568,0.0748777636,0.0038632865,0.0033374013,0.0018933972,0.00203555,0.004098628,0.0050556452,0.0019001115,0.356326824
BOD+e10-0220,0.0019402281,0.0504402555,0.0005142262,0.0001810372,0.0261947272,0.0024149568,0.0008936643,0.0032189402,0.0006121025,0.0006979869,0.0005140461,0.0013018452,0.196656196,0.0019653699,0.0007121929,0.0009629562,0.0007126611,0.0007892365,0.4211827833,0.0021082147,0.0007727729,0.0065193383,0.1482332758,0.0013798689,0.0007828366,0.0008416105,0.0016946027,0.0020902873,0.0007856127,0.1228861675
BOD+e10-0221,0.0202645767,0.0163099874,0.0053707998,0.0018908301,0.0183341299,0.0252228478,0.0093338141,0.0336199958,0.0063930617,0.0072900752,0.0053689187,0.0135970309,0.0119229513,0.0205271688,0.0074384492,0.0100575283,0.0074433395,0.0082431255,0.570191127,0.0220191008,0.0080711728,0.0680907731,0.0166828814,0.0144119443,0.0081762824,0.0087901424,0.01769916,0.0218318601,0.0082052766,0.0072016484
BOD+e11-0001,0.0024117631,0.0019411126,0.000639199,0.0002250348,0.0021820134,0.0030018654,0.0011108521,0.0040012414,0.0007608622,0.0008676191,0.0006389751,0.0927547432,0.001418995,0.0024430151,0.0008852777,0.0011969841,0.0008858597,0.0009810452,0.0071029054,0.0026205755,0.0009605805,0.0992402472,0.1235008383,0.1232305656,0.0009730899,0.0010461477,0.0021064432,0.5190385128,0.0009765407,0.0008570951
BOD+e11-0002,0.0016567919,0.0430717438,0.000439106,0.0001545905,0.0432372337,0.0020621704,0.0216322499,0.0027487047,0.0005226841,0.0005960222,0.0004389522,0.0011116665,0.000974797,0.0016782609,0.000608153,0.0008222837,0.0006085528,0.0006739417,0.0048794329,0.0018002383,0.0006598832,0.5899027656,0.0013639595,0.0846548348,0.0006684768,0.0007186647,0.0014470485,0.1896071507,0.0006708473,0.0005887926
BOD+e11-0003,0.0018498118,0.0014888249,0.0004902628,0.0001726007,0.0016735948,0.0023024177,0.0008520187,0.0496698055,0.000583578,0.0006654601,0.116992268,0.001241178,0.001088363,0.001873782,0.0006790041,0.0009180816,0.0006794505,0.0007524574,0.1918513805,0.00200997,0.000736761,0.4256233682,0.0015228638,0.0013155658,0.0007463558,0.0241028261,0.0016156328,0.1650959258,0.0007490024,0.0006573882
BOD+e11-0004,0.002210322,0.0017789824,0.0005858103,0.0002062389,0.001999762,0.0305925993,0.0010180689,0.0036670402,0.0285387744,0.0007951518,0.0005856051,0.0014830715,0.0013004743,0.113604815,0.0008113354,0.2238287092,0.0008118688,0.000899104,0.0065096395,0.0024016936,0.0008803486,0.3693658944,0.0018196551,0.0015719567,0.0008918132,0.0009587689,0.0019305038,0.1972715103,0.0008949757,0.0007855068
BOD+e11-0005,0.0017289555,0.0013915535,0.0004582318,0.0001613239,0.0015642515,0.0021519908,0.0007963526,0.0028684279,0.0005454503,0.0006219827,0.0004580713,0.0011600865,0.0010172555,0.0017513596,0.0006346418,0.2186392651,0.0006350591,0.0007032961,0.0050919627,0.0018786499,0.0006886252,0.1800343764,0.0014233685,0.0012296142,0.0006975931,0.0007499671,0.0015100765,0.5680937059,0.0007000668,0.0006144382
BOD+e11-0006,0.0018939414,0.0015243428,0.0005019587,0.0001767183,0.0017135205,0.0023573449,0.0008723448,0.0031421482,0.0005975,0.119962823,0.0005017829,0.3114026554,0.0011143273,0.0019184835,0.0006952026,0.0963651736,0.0006956597,0.0007704082,0.0055778642,0.0020579205,0.0007543374,0.1256452985,0.0015591937,0.0013469503,0.000764161,0.0008215328,0.0016541758,0.3121722882,0.0007668709,0.0006730711
BOD+e11-0007,0.002273623,0.0304687394,0.0006025872,0.0002121453,0.0020570328,0.0028299257,0.0010472252,0.0037720599,0.0007172818,0.000817924,0.0006023761,0.2879136364,0.0013377184,0.002303085,0.0008345711,0.0011284237,0.0008351197,0.0295636624,0.1498901136,0.0024704752,0.0009055607,0.0076395748,0.0018717679,0.0302557849,0.0009173537,0.0009862269,0.0019857912,0.4320316046,0.0009206067,0.0008080027
BOD+e11-0008,0.0020399375,0.001641848,0.0005406526,0.0001903408,0.3615795321,0.0025390628,0.0009395902,0.0033843633,0.0006435588,0.0007338568,0.0005404632,0.1812357094,0.0012002262,0.0020663714,0.0007487929,0.001012443,0.0007492852,0.0008297958,0.0060078385,0.002216557,0.0008124862,0.1867213324,0.0016793855,0.0014507811,0.000823067,0.0008848614,0.0017816893,0.2334552306,0.0008259857,0.0007249553
BOD+e11-0009,0.0023406566,0.0018838824,0.0006203534,0.0002184,0.0021176807,0.0029133609,0.0010781007,0.0038832721,0.0007384296,0.000842039,0.0006201361,0.4143349321,0.0013771586,0.0023709873,0.0008591769,0.0011616932,0.0008597417,0.0009521209,0.0068934892,0.2973750335,0.0009322595,0.1847638462,0.0019269535,0.0016646493,0.0009444002,0.001015304,0.0020443386,0.0614880296,0.0009477491,0.0008318252
BOD+e11-0010,0.0030631469,0.0024653803,0.5795679468,0.0002858135,0.002771345,0.0423963684,0.0014108779,0.0050819215,0.0009663606,0.001101951,0.0008115534,0.002055296,0.001802246,0.0031028398,0.0011243789,0.0015202729,0.0011251181,0.0012460119,0.009021302,0.0033283568,0.00122002,0.0102924451,0.0025217461,0.0021784765,0.0012359081,0.1170799196,0.0026753644,0.0033000539,0.1941589938,0.0010885847
BOD+e11-0011,0.0272100828,0.0219000927,0.0072115944,0.0025388955,0.0246179923,0.0338677579,0.012532897,0.0451429548,0.0085842276,0.0097886846,0.0072090686,0.3609985327,0.0160094384,0.027562676,0.0099879126,0.013504658,0.0099944789,0.0110683845,0.080136663,0.0295659547,0.0108374965,0.091428289,0.0224007929,0.0193515119,0.0109786316,0.0118028867,0.023765392,0.0293145388,0.0110175632,0.0096699503
BOD+e11-0012,0.0011689093,0.0009407992,0.0003098006,0.0001090676,0.0010575566,0.0014549143,0.0005383968,0.0608341321,0.0298161922,0.000420509,0.0003096921,0.0007843093,0.0006877444,0.0011840563,0.0004290676,0.04475128,0.0004293497,0.0004754832,0.0476137032,0.0012701145,0.0004655646,0.003927639,0.0009623086,0.3100292791,0.0888139029,0.1182967369,0.0157446425,0.26628614,0.0004733,0.0004154083
BOD+e11-0013,0.0012618014,0.0010155635,0.0003344201,0.0001177351,0.0011415995,0.0015705348,0.0005811826,0.0020933946,0.0003980727,0.0004539264,0.000334303,0.0008466376,0.0007423987,0.001278152,0.0004631651,0.2708206854,0.0163572602,0.0005132694,0.0355037238,0.0013710492,0.0005025625,0.0042397643,0.0010387822,0.3982421436,0.0005091073,0.0005473301,0.0011020622,0.1761910867,0.0005109127,0.0799173733
BOD+e11-0014,0.0016229229,0.0013062129,0.0004301296,0.0001514303,0.0014683198,0.0020200144,0.0007475143,0.0026925142,0.0005119992,0.000583838,0.0004299789,0.0419739771,0.0009548697,0.001643953,0.0005957208,0.0008054742,0.0005961124,0.0006601647,0.004779685,0.0017634369,0.0006463935,0.0258956827,0.0013360768,0.6144297438,0.0006548114,0.0007039734,0.0014174672,0.2879436929,0.0006571335,0.0005767562
BOD+e11-0015,0.0011038956,0.0286980565,0.0002925698,0.0001030014,0.0009987361,0.0013739932,0.0005084516,0.0018314207,0.0003482566,0.0003971206,0.0002924673,0.0424550624,0.0006494926,0.0011182001,0.0143099951,0.0005478753,0.0004054696,0.0004490373,0.0032510929,0.0290090556,0.0004396703,0.0593283546,0.0009087858,0.7238342581,0.000445396,0.0004788355,0.0009641467,0.0846180235,0.0004469755,0.0003923037
BOD+e11-0016,0.0325323206,0.0009996749,0.0003291881,0.0001158931,0.11063965,0.0015459636,0.0005720899,0.0020606432,0.0003918448,0.0004468247,0.0003290728,0.0008333918,0.0007307838,0.0012581551,0.0004559189,0.0006164479,0.0004562186,0.0005052392,0.0818836539,0.0013495989,0.0004946999,0.0041734327,0.0010225304,0.4389469839,0.0474365327,0.0005387671,0.0323750806,0.1734345542,0.06308344,0.0004414048
BOD+e11-0017,0.0012821801,0.0656338972,0.0003398212,0.0001196366,0.0011600368,0.0015958997,0.000590569,0.002127204,0.0004045017,0.0004612575,0.0003397022,0.0008603112,0.0007543888,0.0012987948,0.0166211284,0.0006363598,0.0004709549,0.0005215589,0.0037761602,0.0013931923,0.0005106791,0.0204587215,0.017206042,0.7115331229,0.0005173296,0.0005561698,0.001119861,0.1467356919,0.0005191642,0.0004556626
BOD+e11-0018,0.0446821597,0.0009271481,0.0003053054,0.000107485,0.0010422113,0.0014338034,0.0005305846,0.0164212133,0.0003634163,0.0004144074,0.0003051984,0.0007729289,0.0296979061,0.015676946,0.0004228418,0.0005717244,0.0004231198,0.0004685839,0.0033926137,0.0012516851,0.0004588092,0.0038706487,0.0009483454,0.5957321414,0.0004647842,0.0004996793,0.0010061162,0.2769323798,0.0004664324,0.0004093807
BOD+e11-0019,0.0011863772,0.0009548582,0.0003144302,0.0001106975,0.0010733604,0.0014766562,0.0005464424,0.1215181811,0.1049804571,0.000426793,0.0003143201,0.0007960298,0.0006980219,0.0012017505,0.0004354795,0.0005888118,0.0004357658,0.0004825887,0.0034940104,0.0012890948,0.0004725219,0.0488175522,0.0009766891,0.2997185361,0.0004786754,0.0901770528,0.0757548859,0.240377971,0.0004803729,0.0004216161
BOD+e11-0020,0.0012043751,0.0009693438,0.0003192002,0.0001123768,0.0010896438,0.0014990577,0.0005547322,0.0019981215,0.0003799558,0.0004332676,0.0003190884,0.031148992,0.0007086112,0.0012199816,0.0156125289,0.0309386304,0.0004423765,0.0004899098,0.0035470161,0.0013086509,0.0004796902,0.0647285792,0.0009915059,0.273924513,0.0004859372,0.0156928635,0.0010519059,0.5474334721,0.0004876604,0.0004280122
BOD+e11-0021,0.0010887566,0.5357261962,0.0002885574,0.0001015888,0.0009850394,0.0013551501,0.0005014786,0.0018063044,0.0003434806,0.0003916745,0.0140025566,0.0007305288,0.0006405854,0.001102865,0.0003996462,0.0005403617,0.0003999089,0.0004428791,0.0032065071,0.0011830221,0.027861841,0.0448006194,0.0008963226,0.2201999151,0.0004392878,0.0004722687,0.0009509243,0.1245998641,0.0141549458,0.0003869236
BOD+e11-0022,0.001370732,0.0011032365,0.0003632904,0.0001278991,0.0185060461,0.0017061183,0.0006313558,0.0022741163,0.0349642241,0.0004931136,0.0003631632,0.0009197273,0.0008064896,0.0013884942,0.0005031499,0.0006803091,0.0005034807,0.0005575797,0.0731005273,0.0014894111,0.0005459485,0.0046057809,0.0011284598,0.69161057,0.0005530583,0.0005945809,0.0011972026,0.1568697829,0.0005550195,0.0004871323
BOD+e11-0023,0.0014724228,0.0011850826,0.0003902419,0.0001373876,0.0013321566,0.0018326904,0.0006781943,0.020989628,0.0004645194,0.0005296964,0.0003901053,0.0009879593,0.0008663208,0.0014915027,0.0005404772,0.0007307793,0.0005408325,0.0005989449,0.0043364457,0.0015999064,0.0005864509,0.0791346764,0.001212177,0.3719831982,0.0005940881,0.0377322939,0.0012860198,0.4652563355,0.0005961948,0.0005232713
BOD+e11-0024,0.0013474668,0.0010845115,0.0003571244,0.0001257283,0.0012191042,0.0016771606,0.0006206399,0.0022355181,0.0004250984,0.0004847441,0.0003569993,0.0009041169,0.0007928012,0.0522834527,0.00049461,0.0685601293,0.0004949352,0.0005481159,0.0039684367,0.0184369733,0.0005366822,0.0045276077,0.0180821483,0.4761978723,0.0005436713,0.0005844891,0.0011768827,0.2899899909,0.0005455992,0.0513973895
BOD+e11-0025,0.0012821801,0.0010319653,0.0003398212,0.0001196366,0.0011600368,0.0661978316,0.000590569,0.002127204,0.0327054677,0.0004612575,0.0003397022,0.0008603112,0.0007543888,0.0012987948,0.0004706455,0.0006363598,0.0004709549,0.0005215589,0.0037761602,0.0013931923,0.0005106791,0.0043082386,0.0010555591,0.3723729806,0.0005173296,0.0005561698,0.3402800033,0.0013813452,0.0005191642,0.1619604923
BOD+e11-0026,0.0015002476,0.0012074774,0.0003976165,0.0001399838,0.0013573308,0.0018673233,0.0951774381,0.0024889894,0.0004732976,0.0005397062,0.0003974772,0.0010066291,0.0008826919,0.001519688,0.0005506908,0.0007445891,0.0005510528,0.0006102634,0.0044183928,0.0016301403,0.0005975332,0.0239382503,0.0012350839,0.3223208142,0.0006053148,0.0006507607,0.133591321,0.3984592751,0.0006074613,0.0005331597
BOD+e11-0027,0.0012821801,0.1302358291,0.0003398212,0.0001196366,0.0011600368,0.0015958997,0.000590569,0.0182776869,0.0004045017,0.0004612575,0.0003397022,0.0008603112,0.0007543888,0.0012987948,0.0004706455,0.0006363598,0.0004709549,0.0005215589,0.0037761602,0.0013931923,0.0005106791,0.0043082386,0.0010555591,0.194717668,0.0005173296,0.0005561698,0.1141732418,0.5181968001,0.0005191642,0.0004556626
BOD+e11-0028,0.0015002476,0.0956939052,0.0003976165,0.0001399838,0.0013573308,0.0207646088,0.0006910103,0.0024889894,0.0004732976,0.0005397062,0.1137811906,0.0010066291,0.0008826919,0.001519688,0.0005506908,0.0007445891,0.0005510528,0.0006102634,0.0044183928,0.0016301403,0.0005975332,0.0050409647,0.0012350839,0.3601153853,0.0006053148,0.0573426174,0.001310322,0.3228701329,0.0006074613,0.0005331597
BOD+e11-0029,0.0012043751,0.0161397869,0.0003192002,0.0001123768,0.0010896438,0.0014990577,0.0005547322,0.1537025519,0.0003799558,0.0004332676,0.0003190884,0.000808106,0.0007086112,0.0012199816,0.0004420859,0.0916204026,0.0004423765,0.0004899098,0.0187174591,0.0013086509,0.0004796902,0.0950694653,0.031332392,0.4407993865,0.0004859372,0.0005224204,0.0010519059,0.1378315101,0.0004876604,0.0004280122
BOD+e11-0030,0.0013474668,0.0010845115,0.0003571244,0.0001257283,0.0012191042,0.0016771606,0.1194305321,0.0022355181,0.0004250984,0.0174575858,0.0003569993,0.0009041169,0.0177656429,0.0183377692,0.00049461,0.0006687623,0.0004949352,0.0005481159,0.0888326454,0.0014641316,0.0005366822,0.0724189747,0.0011093066,0.1197681958,0.0005436713,0.0005844891,0.0011768827,0.5276097752,0.0005455992,0.0004788643
BOD+e11-0031,0.0015291442,0.001230735,0.0004052751,0.0001426801,0.0013834747,0.0019032903,0.0007043201,0.0025369305,0.2316176696,0.0005501016,0.0004051331,0.001026018,0.0008996937,0.0015489592,0.0005612978,0.13558783,0.0005616668,0.0006220178,0.0045034966,0.0016615388,0.0006090424,0.0051380601,0.0012588732,0.0010875106,0.0006169739,0.0006632952,0.0013355605,0.5987468204,0.0006191618,0.000543429
BOD+e11-0032,0.0012618014,0.0010155635,0.0003344201,0.0001177351,0.0011415995,0.0015705348,0.0005811826,0.0020933946,0.0957608161,0.0004539264,0.000334303,0.0008466376,0.0007423987,0.001278152,0.0004631651,0.0006262456,0.0004634696,0.0005132694,0.0037161427,0.0013710492,0.0005025625,0.0201335549,0.0010387822,0.2551980284,0.0005091073,0.0005473301,0.0011020622,0.5576420604,0.0164047032,0.0322360016
BOD+e11-0033,0.0260191522,0.1509540936,0.0002632826,9.26906102859304E-005,0.0008987596,0.0012364523,0.000457554,0.0016480899,0.0003133951,0.0003573677,0.0002631904,0.0006665417,0.0005844764,0.0010062648,0.0003646411,0.1131089511,0.0003648809,0.0004040873,0.0029256487,0.001079401,0.0003956579,0.0158507661,0.0133306935,0.3510671291,0.0004008105,0.0004309026,0.0008676327,0.3138922217,0.0004022319,0.0003530329
