Document identifier,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29
Ash(mask)-0007,0.000810779,0.0006525572,0.0002148839,7.5651486755309E-005,0.0007335425,0.0010091578,0.5722825755,0.0013451249,0.0002557843,0.0002916735,0.0002148087,0.0005440127,0.0004770333,0.0008212853,0.0002976099,0.0004023984,0.0002978056,0.0003298047,0.0023878327,0.000880977,0.000322925,0.0027242894,0.409174,0.0005766171,0.0003271304,0.0003516907,0.0007081376,0.0008734855,0.0003282904,0.0002881356
Ash(mask)-0008,0.0646777248,0.0005115119,0.0001684384,0.0000593,0.0005749929,0.000791036,0.5446513364,0.0250702075,0.0002004985,0.0002286305,0.0001683794,0.0004264285,0.0003739262,0.0006437707,0.0002332838,0.000315423,0.0002334372,0.0002585199,0.0018717208,0.3048909604,0.0002531272,0.050167097,0.0005232066,0.0004519857,0.0002564236,0.0002756754,0.000555079,0.0006846883,0.0002573329,0.0002258573
Ash(mask)-0009,0.0008276848,0.0006661638,0.0002193645,7.72289124824001E-005,0.0007488377,0.0114558095,0.0003812296,0.4809512122,0.0002611177,0.0002977553,0.0002192877,0.000555356,0.0004869801,0.00083841,0.0003038154,0.0004107889,0.0003040152,0.0003366816,0.1171193271,0.0008993464,0.0003296583,0.0132067037,0.3655777289,0.0005886403,0.0003339514,0.0003590239,0.0007229031,0.0008916988,0.0003351357,0.0002941436
Ash(mask)-0010,0.0010188908,0.0008200564,0.0002700406,9.50698043896418E-005,0.0009218291,0.0012681897,0.0004692986,0.0915288282,0.0003214393,0.0003665406,0.000269946,0.0006836506,0.0005994789,0.0010320938,0.0003740008,0.0005056865,0.8859245341,0.0004144594,0.0030007446,0.0011071072,0.0004058137,0.0034235633,0.0008388053,0.0007246239,0.0004110986,0.0004419631,0.0008899032,0.0010976929,0.0004125564,0.0003620946
Ash(mask)-0011,0.0007639662,0.0006148799,0.000202477,7.12835193554873E-005,0.0006911892,0.000950891,0.000351881,0.0012674601,0.0002410158,0.0002748329,0.000202406,0.0005126025,0.0004494904,0.0007738659,0.0002804265,0.0003791647,0.9818270283,0.0003107625,0.002249964,0.0008301111,0.0003042799,0.0025669943,0.0006289378,0.0005433244,0.0003082425,0.0003313848,0.0006672511,0.0008230522,0.0003093356,0.0002714992
Ash(mask)-0012,0.0008276848,0.0006661638,0.0002193645,7.72289124824001E-005,0.0007488377,0.0010302,0.0003812296,0.0013731724,0.0002611177,0.0002977553,0.0002192877,0.000555356,0.0004869801,0.00083841,0.0003038154,0.0004107889,0.9698857042,0.0003366816,0.0024376219,0.011324956,0.0003296583,0.0027810941,0.0006813943,0.0005886403,0.0003339514,0.0003590239,0.0007229031,0.0008916988,0.0003351357,0.0002941436
Ash(mask)-0013,0.0007093571,0.0005709275,0.0001880037,6.6188093034419E-005,0.0989283322,0.0008829203,0.0003267281,0.0011768606,0.0002237877,0.0002551875,0.0001879378,0.0004759611,0.0004173603,0.0007185491,0.0002603813,0.0003520616,0.8848395027,0.0002885488,0.002089134,0.0007707738,0.0002825296,0.0023835026,0.0005839806,0.000504487,0.000286209,0.000307697,0.0006195552,0.0007642195,0.0002872239,0.0002520921
Ash(mask)-0014,0.0008276848,0.0006661638,0.0002193645,7.72289124824001E-005,0.0007488377,0.1574143434,0.0003812296,0.0013731724,0.0002611177,0.0002977553,0.0002192877,0.000555356,0.0004869801,0.00083841,0.0003038154,0.0004107889,0.8239271704,0.0003366816,0.0024376219,0.0008993464,0.0003296583,0.0027810941,0.0006813943,0.0005886403,0.0003339514,0.0003590239,0.0007229031,0.0008916988,0.0003351357,0.0002941436
Ash(mask)-0015,0.0006848791,0.0005512264,0.0001815162,6.39041236362669E-005,0.0006196361,0.2855373061,0.0003154536,0.0011362504,0.0002160654,0.0002463817,0.0001814526,0.000459537,0.0004029583,0.0006937539,0.0002513962,0.0003399129,0.6903966597,0.0002785918,0.0020170437,0.0007441765,0.0002727803,0.0109280682,0.0005638291,0.0004870785,0.0002763327,0.0002970792,0.0005981761,0.0007378484,0.0002773126,0.0002433931
Ash(mask)-0016,0.010590801,0.0006269461,0.0002064503,7.26823647421956E-005,0.0007047529,0.1873945661,0.0003587862,0.0012923323,0.0002457454,0.0002802261,0.000206378,0.0005226616,0.000458311,0.000789052,0.0002859295,0.0003866053,0.7852335496,0.0003168608,0.0022941165,0.0008464009,0.000310251,0.0026173682,0.0006412799,0.0005539864,0.0003142914,0.0003378878,0.000680345,0.0008392035,0.0003154059,0.000276827
Ash(mask)-0017,0.0008276848,0.0006661638,0.0002193645,7.72289124824001E-005,0.0007488377,0.0218814191,0.0003812296,0.0013731724,0.0002611177,0.0002977553,0.0002192877,0.000555356,0.0004869801,0.00083841,0.0003038154,0.0004107889,0.8969064373,0.0003366816,0.023288841,0.0008993464,0.0003296583,0.0236323132,0.0215326134,0.0005886403,0.0003339514,0.0003590239,0.0007229031,0.0008916988,0.0003351357,0.0002941436
